sector,ticker,name,new_group,tech_disease_tags,needs_review
cosmetics,214370,"케어젠",에스테틱 의약품·소모품,"",true
cosmetics,483650,"달바글로벌",화장품 브랜드,"",false
cosmetics,214150,"클래시스",미용 의료장비,"HIFU|미용장비",false
cosmetics,002790,"아모레퍼시픽홀딩스",화장품 브랜드,"",false
cosmetics,241710,"코스메카코리아",화장품 ODM·OEM,"",false
cosmetics,251970,"펌텍코리아",용기·부자재,"",false
cosmetics,086900,"메디톡스",에스테틱 의약품·소모품,"톡신|필러|에스테틱",false
cosmetics,336570,"원텍",미용 의료장비,"에너지기반|미용장비",false
cosmetics,018290,"브이티",화장품 브랜드,"",false
cosmetics,092730,"네오팜",화장품 브랜드,"",false
cosmetics,018250,"애경산업",화장품 브랜드,"",false

# cross_moves
086900,bio,cosmetics,에스테틱 의약품·소모품
290650,bio,medtech,의료소모품·재생재료
0120G0,bio,medtech,의료소모품·재생재료
# mcap_skips: 228760,389650,003350,078520,352480
